Tw, K	dTliq, K	P, atm.	Ts, K	L, m	Rw, kg/m3	Cw, J/kg/K	Kw, W/m/K	Rl, kg/m3	Cl, J/kg/K	Kl, W/m/K	Ll, Pa*sec	Q, N/m	dH, J/kg	Tlim, K
4,196260E+2	8,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,711330E+3	9,999698E+2	5,720242E-2	7,827790E-4	8,289191E-3	8,249410E+4	3,942066E+2
4,004630E+2	6,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,687267E+3	1,043364E+3	5,603430E-2	6,715617E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,957990E+2	4,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,662808E+3	1,070712E+3	5,486623E-2	5,835952E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,883930E+2	2,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,638025E+3	1,085330E+3	5,369827E-2	5,135244E-4	8,289191E-3	8,249410E+4	3,942066E+2
6,464120E+2	7,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,944005E+2	3,240211E+3	2,590008E-1	1,081182E-3	2,172368E-2	1,134837E+6	4,928235E+2
6,793500E+2	7,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,944005E+2	3,240211E+3	2,590008E-1	1,081182E-3	2,172368E-2	1,134837E+6	4,928235E+2
6,480590E+2	5,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,879460E+2	3,332083E+3	2,580696E-1	8,729273E-4	2,172368E-2	1,134837E+6	4,928235E+2
6,044200E+2	3,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,807926E+2	3,419112E+3	2,567638E-1	7,175187E-4	2,172368E-2	1,134837E+6	4,928235E+2
4,923580E+2	1,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,729106E+2	3,501398E+3	2,550718E-1	5,993756E-4	2,172368E-2	1,134837E+6	4,928235E+2
9,268660E+2	7,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,330827E+2	3,510260E+3	3,461515E-1	8,949395E-4	2,751946E-2	1,360967E+6	5,164731E+2
